,0,1,2,3
1450,7699,,,
1451,1845,,,
1452,23924,,,
1453,1640,,,
1454,28549,,,
1455,144,,,
1456,3357,,,
1457,54392,,,
1458,4489,,,
1459,1574,,,
1460,21979,,,
1461,1063,,,
1462,7542,,,
1463,24214,,,
1464,19980,,,
1465,665,,,
1466,51261,,,
1467,49080,59402.0,,
1468,40184,,,
1469,10918,,,
1470,352,,,
1471,22206,,,
1472,36553,,,
1473,7444,,,
1474,47867,,,
1475,44967,45106.0,,
1476,675,,,
1477,5093,,,
1478,22888,,,
1479,11840,,,
1480,30744,,,
1481,51970,,,
1482,11642,,,
1483,1825,,,
1484,32476,,,
1485,14516,,,
1486,4537,,,
1487,41867,42029.0,,
1488,280,,,
1489,16678,,,
1490,5391,,,
1491,29969,,,
1492,1354,,,
1493,488,,,
1494,42513,,,
1495,33381,,,
1496,524,,,
1497,5642,,,
1498,10055,,,
1499,1964,,,
1500,23484,,,
1501,42304,,,
1502,28268,,,
1503,32653,,,
1504,3215,,,
1505,6569,,,
1506,13117,,,
1507,26051,26233.0,,
1508,44550,,,
1509,27883,,,
1510,53132,,,
1511,2101,,,
1512,883,,,
1513,27701,,,
1514,578,,,
1515,12916,,,
1516,8999,,,
1517,654,,,
1518,1600,,,
1519,6292,,,
1520,22348,,,
1521,25292,,,
1522,6959,,,
1523,480,,,
1524,20058,,,
1525,35060,,,
1526,14589,,,
1527,3630,,,
1528,996,,,
1529,52215,,,
1530,13420,,,
1531,6658,,,
1532,15197,,,
1533,54149,,,
1534,8290,,,
1535,12748,,,
1536,8856,51111.0,,
1537,49281,,,
1538,48902,,,
1539,2049,,,
1540,7614,,,
1541,14995,,,
1542,9491,,,
1543,719,,,
1544,55776,,,
1545,36094,,,
1546,13536,,,
1547,2366,,,
1548,23918,,,
1549,11198,,,
1550,4834,,,
1551,20334,,,
1552,16125,,,
1553,14790,,,
1554,136,,,
1555,16403,,,
1556,52607,,,
1557,16479,,,
1558,2941,,,
1559,32065,,,
1560,449,,,
1561,37921,37922.0,,
1562,14243,,,
1563,8493,,,
1564,16745,,,
1565,38036,,,
1566,2076,,,
1567,138,,,
1568,15906,,,
1569,19766,,,
1570,36380,,,
1571,14356,,,
1572,5679,,,
1573,16355,,,
1574,30326,,,
1575,3239,,,
1576,14636,,,
1577,825,,,
1578,5365,,,
1579,1672,,,
1580,2329,,,
1581,52111,,,
1582,30532,,,
1583,139,,,
1584,22042,,,
1585,1391,,,
1586,3848,,,
1587,25563,,,
1588,47489,,,
1589,7706,,,
1590,3022,,,
1591,7422,,,
1592,25193,,,
1593,31272,,,
1594,15375,,,
1595,2192,,,
1596,342,,,
1597,32977,,,
1598,32188,,,
1599,44756,,,
1600,592,,,
1601,11941,,,
1602,141,,,
1603,54877,,,
1604,50055,,,
1605,573,,,
1606,15844,,,
1607,30378,,,
1608,10553,,,
1609,23840,,,
1610,1316,,,
1611,15252,,,
1612,3387,,,
1613,12674,,,
1614,142,49239.0,,
1615,404,,,
1616,384,,,
1617,4651,,,
1618,3571,,,
1619,145,,,
1620,27653,,,
1621,4911,,,
1622,511,,,
1623,1606,,,
1624,382,,,
1625,667,,,
1626,3811,,,
1627,1454,,,
1628,7135,,,
1629,30239,,,
1630,54002,,,
1631,2123,,,
1632,14613,,,
1633,54667,,,
1634,46687,,,
1635,9241,,,
1636,7334,,,
1637,27882,,,
1638,12602,,,
1639,22752,,,
1640,44019,,,
1641,3238,,,
1642,2026,,,
1643,21974,,,
1644,45825,,,
1645,25265,,,
1646,266,,,
1647,863,,,
1648,1270,,,
1649,29614,,,
1650,46378,,,
1651,27550,,,
1652,29427,,,
1653,29495,,,
1654,31841,,,
1655,151,,,
1656,39180,,,
1657,14307,,,
1658,31310,,,
1659,2538,,,
1660,1241,,,
1661,3147,,,
1662,363,,,
